time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-02-25T23:03:11.000Z,43.8813,-125.9462,5,2.9,Md,,270,1.37442238,0.41,uw,uw60701752,2014-02-26T22:13:30.939Z,"144km WNW of Barview, Oregon",earthquake
2014-02-25T22:45:38.990Z,48.2504,-104.6986,5,3.8,mb_lg,,148,0.401,0.63,us,usc000my5t,2014-02-28T00:12:43.143Z,"59km S of Plentywood, Montana",earthquake
2014-02-25T22:23:23.300Z,19.0471,-64.9182,30,2.8,Md,7,309.6,0.69170277,0.2,pr,pr14056007,2014-02-28T02:31:53.000Z,"76km NNW of Road Town, British Virgin Islands",earthquake
2014-02-25T21:39:11.000Z,53.4259,-167.3407,14.6,2.5,ml,17,190.799984736001,0.3395632,0.55,ak,ak11170854,2014-02-26T05:41:39.263Z,"72km SW of Unalaska, Alaska",earthquake
2014-02-25T21:01:46.100Z,18.7971,-67.3507,7,3.3,Md,25,201.6,0.39705536,0.28,pr,pr14056006,2014-02-28T03:08:13.000Z,"42km NW of San Antonio, Puerto Rico",earthquake
2014-02-25T20:24:38.810Z,60.9519,-138.2847,10.74,4.1,mwr,,45,0.402,0.89,us,usc000mxxt,2014-02-27T14:18:09.766Z,"47km WNW of Haines Junction, Canada",earthquake
2014-02-25T19:01:05.780Z,51.1795,-138.041,15.59,3.9,mb,,211,3.978,1.14,us,usc000mxw8,2014-02-26T21:54:56.000Z,"West of Vancouver Island",earthquake
2014-02-25T16:00:05.000Z,51.2429,-176.3059,25.4,2.8,ml,9,284.399977248002,0.6800247,0.32,ak,ak11170548,2014-02-26T00:02:46.322Z,"74km SSE of Adak, Alaska",earthquake
2014-02-25T15:56:29.000Z,57.211,-154.936,58.4,4.5,ml,57,57.5999953920004,0.7689579,0.86,ak,ak11170496,2014-02-25T17:53:02.000Z,"68km WSW of Larsen Bay, Alaska",earthquake
2014-02-25T15:43:31.850Z,-59.3882,-59.9976,14.99,5,mb,,89,5.73,0.71,us,usc000mxt4,2014-02-25T23:46:08.319Z,"Drake Passage",earthquake
2014-02-25T14:34:40.300Z,18.3428,-64.9561,121,3.1,Md,16,169.2,0.00898315,0.14,pr,pr14056005,2014-02-25T22:37:07.747Z,"2km W of Charlotte Amalie, U.S. Virgin Islands",earthquake
2014-02-25T13:10:30.100Z,40.2952,-124.654,22,2.5,Md,,288,0.28746089,0.09,nc,nc72174681,2014-02-25T21:13:10.054Z,"45km SW of Ferndale, California",earthquake
2014-02-25T13:07:23.000Z,51.0696,-176.1409,25.6,2.5,ml,14,259.199979264002,0.8785523,0.41,ak,ak11170454,2014-02-25T21:09:51.989Z,"97km SSE of Adak, Alaska",earthquake
2014-02-25T12:25:48.000Z,52.2694,-168.9442,26.53,4.1,mb,,187,0.706,1.32,us,usc000mxr9,2014-02-25T20:28:15.902Z,"74km S of Nikolski, Alaska",earthquake
2014-02-25T11:44:15.250Z,13.6776,120.9543,137.99,4.7,mb,,131,8.905,0.54,us,usc000mxr3,2014-02-25T19:46:52.482Z,"6km SSE of Talaga, Philippines",earthquake
2014-02-25T11:35:42.000Z,53.6607,-165.0465,53.6,2.8,ml,20,241.199980704002,0.5901931,0.5,ak,ak11170414,2014-02-25T19:38:11.241Z,"71km SE of Akutan, Alaska",earthquake
2014-02-25T08:59:10.700Z,18.1375,-64.9978,11,2.8,Md,3,212.4,0.21649398,0.43,pr,pr14056002,2014-02-25T17:01:46.856Z,"23km SSW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2014-02-25T08:25:00.400Z,18.926,-68.1285,81,3.1,Md,5,248.4,0.47520879,0.2,pr,pr14056003,2014-02-25T16:27:29.027Z,"47km NE of Punta Cana, Dominican Republic",earthquake
2014-02-25T07:21:49.810Z,52.0332,-171.7835,54.77,4.8,mb,,137,1.498,0.88,us,usc000mxpz,2014-02-25T15:24:29.145Z,"62km SW of Amukta Island, Alaska",earthquake
2014-02-25T07:16:04.000Z,58.3494,-152.0347,5.8,3,ml,32,154.799987616001,1.239675,0.54,ak,ak11170308,2014-02-25T15:18:41.367Z,"66km NNE of Kodiak, Alaska",earthquake
2014-02-25T05:42:30.000Z,59.7911,-152.4477,100,2.6,ml,36,205.199983584001,0.3530379,0.68,ak,ak11170275,2014-02-25T13:45:02.820Z,"34km W of Anchor Point, Alaska",earthquake
2014-02-25T04:42:40.070Z,-0.4101,125.2076,61.88,5,mb,,45,2.457,1.15,us,usc000mxp3,2014-02-25T12:45:19.575Z,"153km SE of Lolayan, Indonesia",earthquake
2014-02-25T02:01:25.530Z,4.4898,62.7008,9.08,5.1,mb,,72,11.022,0.85,us,usc000mxnq,2014-02-25T15:56:26.000Z,"Carlsberg Ridge",earthquake
2014-02-25T02:00:52.160Z,38.4575,90.6617,10.04,4.5,mb,,118,10.359,0.84,us,usc000mxnl,2014-02-25T10:03:33.264Z,"Xinjiang-Qinghai border region, China",earthquake
2014-02-25T01:49:04.670Z,0.625,120.5036,72.16,5,mb,,77,2.808,0.79,us,usc000mxnk,2014-02-25T09:51:39.266Z,"17km S of Tinabogan, Indonesia",earthquake
2014-02-25T01:05:18.000Z,51.2878,-176.2441,42.8,2.6,ml,13,244.799980416002,0.6530752,0.9,ak,ak11170227,2014-02-25T09:07:59.399Z,"71km SSE of Adak, Alaska",earthquake
2014-02-25T00:33:16.900Z,35.528,-121.2757,4.5,2.8,Md,,198,0.17966306,0.09,nc,nc72174341,2014-02-28T07:04:10.955Z,"14km SSW of San Simeon, California",earthquake
2014-02-24T23:59:48.060Z,4.3898,62.7003,12.36,5.2,mb,,55,10.987,1.11,us,usc000mxmu,2014-02-25T15:56:25.000Z,"Carlsberg Ridge",earthquake
2014-02-24T23:47:09.820Z,4.2821,62.6688,11.39,5.3,mb,,68,11.433,1.46,us,usc000mxmh,2014-02-25T15:56:24.000Z,"Carlsberg Ridge",earthquake
2014-02-24T23:44:01.300Z,4.1384,62.6204,9.97,5.1,mb,,79,10.979,1.37,us,usc000mxmd,2014-02-25T07:46:34.370Z,"Carlsberg Ridge",earthquake
2014-02-24T23:39:29.120Z,31.2382,130.4475,159.81,4.6,mb,,57,1.916,1.01,us,usc000mxmy,2014-02-25T07:42:27.967Z,"12km ESE of Makurazaki, Japan",earthquake
2014-02-24T23:34:44.640Z,32.9095,-100.8407,5,2.8,mb_lg,,72,1.048,0.68,us,usc000mxly,2014-02-25T07:37:10.920Z,"22km NNE of Snyder, Texas",earthquake
2014-02-24T23:32:49.830Z,4.1096,62.655,11.5,5.3,mb,,90,11.291,1.22,us,usc000mxn0,2014-02-25T20:40:44.000Z,"Carlsberg Ridge",earthquake
2014-02-24T23:31:42.300Z,4.0038,62.6727,10,5,mb,,81,11.223,1.37,us,usc000mxm3,2014-02-25T07:34:20.986Z,"Carlsberg Ridge",earthquake
2014-02-24T23:26:55.250Z,3.9978,62.7956,4,5.6,mww,,105,10.769,1.34,us,usc000mxls,2014-02-26T02:52:11.166Z,"Carlsberg Ridge",earthquake
2014-02-24T23:23:47.000Z,52.956,-172.1661,116,3.4,ml,24,172.799986176001,1.354659,0.64,ak,ak11170171,2014-02-25T07:26:20.197Z,"80km NW of Amukta Island, Alaska",earthquake
2014-02-24T22:17:49.620Z,4.0763,62.774,10,4.7,mb,,94,10.813,1.01,us,usc000mxk5,2014-02-25T06:20:21.448Z,"Carlsberg Ridge",earthquake
2014-02-24T22:16:24.700Z,35.5297,-121.2747,4.7,2.9,Md,,190.8,0.1706799,0.09,nc,nc72174281,2014-02-28T06:35:07.738Z,"14km SSW of San Simeon, California",earthquake
2014-02-24T21:56:04.070Z,0.6148,126.2401,54.47,5.3,mb,,36,1.137,0.97,us,usc000mxj0,2014-02-25T05:58:43.363Z,"126km W of Kota Ternate, Indonesia",earthquake
2014-02-24T20:08:36.160Z,-8.1259,125.3535,45.11,4.4,mb,,134,1.942,1.12,us,usc000mxfd,2014-02-26T00:22:15.000Z,"53km NNW of Dili, East Timor",earthquake
2014-02-24T19:48:24.000Z,63.447,-153.4589,0.2,2.9,ml,27,111.599991072001,0.6135493,1.18,ak,ak11170089,2014-02-25T03:51:02.871Z,"120km ENE of McGrath, Alaska",earthquake
2014-02-24T19:26:10.000Z,53.0218,-164.5766,61.6,3.5,ml,,262,1.274,1.73,us,usc000mxfw,2014-02-26T00:13:35.315Z,"147km SSE of Akutan, Alaska",earthquake
2014-02-24T18:55:12.790Z,-19.2119,-177.6596,571.58,4.8,mb,,80,4.322,1.16,us,usc000mxdv,2014-02-25T22:20:34.000Z,"192km NE of Ndoi Island, Fiji",earthquake
2014-02-24T18:36:03.000Z,60.7065,-150.6245,58.5,3.3,ml,40,46.7999962560003,0.2659013,0.65,ak,ak11170036,2014-02-28T00:12:00.402Z,"20km NNE of Sterling, Alaska",earthquake
2014-02-24T18:18:52.090Z,-5.2475,133.9649,32.53,4.5,mb,,108,2.877,0.97,us,usc000mxcy,2014-02-25T18:05:40.000Z,"63km NNW of Dobo, Indonesia",earthquake
2014-02-24T16:47:48.000Z,61.8754,-140.3022,0,3.3,ml,56,100.799991936001,0.1239675,1.97,ak,ak11170007,2014-02-25T00:50:15.098Z,"194km NW of Haines Junction, Canada",earthquake
2014-02-24T16:44:59.440Z,35.817,-96.943,4.3,3.2,ml,,,,0.46,us,usc000mxb1,2014-02-26T06:30:16.502Z,"13km NNW of Chandler, Oklahoma",earthquake
2014-02-24T15:44:09.000Z,62.3389,-148.3473,23.6,2.5,ml,46,35.9999971200002,0.3521396,0.63,ak,ak11169999,2014-02-24T23:46:40.879Z,"65km NNE of Sutton-Alpine, Alaska",earthquake
2014-02-24T11:20:49.640Z,35.5727,-97.3424,5,3,mb_lg,,35,0.009,0.4,us,usc000mx9a,2014-03-02T10:06:38.565Z,"5km W of Jones, Oklahoma",earthquake
2014-02-24T10:54:28.000Z,62.3034,-151.2668,9.1,2.6,ml,41,118.799990496001,0.3449531,1.4,ak,ak11169859,2014-02-24T18:56:59.674Z,"60km W of Talkeetna, Alaska",earthquake
2014-02-24T10:34:56.230Z,10.6176,-72.5589,21.25,4.5,mb,,63,2.562,1.39,us,usc000mx7k,2014-02-24T18:37:23.513Z,"40km E of El Molino, Colombia",earthquake
2014-02-24T08:24:59.000Z,50.9653,-176.3413,6.6,2.5,ml,10,302.399975808002,0.9405361,0.41,ak,ak11170034,2014-02-24T18:19:51.168Z,"104km SSE of Adak, Alaska",earthquake
2014-02-24T08:23:44.960Z,31.3015,-115.8833333,6,3.3,ml,4,186,0.4396,0.23,ci,ci37191184,2014-02-24T16:26:11.421Z,"53km NNE of Camalu, Mexico",earthquake
2014-02-24T07:26:33.950Z,26.4389,126.0862,121.49,4.8,mb,,55,1.996,0.44,us,usc000mx6w,2014-02-24T15:29:06.970Z,"161km W of Naha-shi, Japan",earthquake
2014-02-24T06:29:45.700Z,18.912,-64.373,10,2.7,Md,4,327.6,0.54348075,0.05,pr,pr14055002,2014-02-24T14:32:25.845Z,"60km NNE of Road Town, British Virgin Islands",earthquake
2014-02-24T06:18:49.840Z,-6.3498,128.5187,277.61,4.6,mb,,71,5.043,0.9,us,usc000mx6i,2014-02-24T14:21:28.223Z,"293km S of Amahusu, Indonesia",earthquake
2014-02-24T06:10:37.000Z,62.9157,-151.2948,100,2.5,ml,47,71.9999942400005,0.4069368,0.53,ak,ak11169765,2014-02-24T14:13:14.533Z,"89km NW of Talkeetna, Alaska",earthquake
2014-02-24T05:39:08.330Z,36.3213,83.0486,10,4.2,mb,,124,7.365,0.72,us,usc000mx6g,2014-02-24T13:41:40.585Z,"246km SSE of Darya Boyi, China",earthquake
2014-02-24T04:53:05.000Z,61.7474,-149.4738,25.2,2.7,ml,59,32.3999974080002,0.2245788,0.65,ak,ak11169748,2014-02-24T12:55:39.324Z,"12km W of Fishhook, Alaska",earthquake
2014-02-24T04:41:01.480Z,34.7329,24.1497,10.07,4.4,mb,,143,1.952,1.24,us,usc000mx64,2014-02-24T12:43:34.793Z,"63km SW of Ayia Galini, Greece",earthquake
2014-02-24T04:25:53.800Z,18.8022,-64.4264,45,2.9,Md,6,316.8,0.42400481,0.17,pr,pr14055001,2014-02-28T03:11:51.000Z,"47km NNE of Road Town, British Virgin Islands",earthquake
2014-02-24T04:04:31.480Z,16.1647,-96.7059,29.2,4.7,mb,,193,2.259,0.8,us,usc000mx5y,2014-02-24T14:52:19.522Z,"17km SSW of Santa Cruz Xitla, Mexico",earthquake
2014-02-24T03:21:12.400Z,19.3845,-155.2423,2.9,2.6,Ml,,57.6,0.00898315,0.07,hv,hv60646311,2014-02-28T02:16:43.000Z,"5km S of Volcano, Hawaii",earthquake
2014-02-24T03:18:15.690Z,2.0174,127.9947,48.74,4.5,mb,,70,1.387,1.65,us,usc000mx5m,2014-02-24T11:20:44.809Z,"32km N of Tobelo, Indonesia",earthquake
2014-02-24T01:58:11.700Z,18.9372,-65.129,37,2.9,Md,5,273.6,0.6054645,0.25,pr,pr14055000,2014-02-28T03:19:30.000Z,"69km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
